Date,Users,Pageviews
2017-01-01,209098,496943
2017-01-02,324469,851837
2017-01-03,389198,914950
2017-01-04,365383,865846
2017-01-05,360486,857553
2017-01-06,365578,846064
2017-01-07,320421,669778
2017-01-08,301345,608320
2017-01-09,370107,855349
2017-01-10,350713,834293
2017-01-11,339869,799849
2017-01-12,364906,811993
2017-01-13,346619,743648
2017-01-14,304720,607983
2017-01-15,297757,585112
2017-01-16,411462,885504
2017-01-17,388313,900972
2017-01-18,384738,893348
2017-01-19,369789,886347
2017-01-20,374956,899672
2017-01-21,316865,701095
2017-01-22,291320,626948
2017-01-23,432863,1120359
2017-01-24,375296,909789
2017-01-25,373858,863135
2017-01-26,352519,716058
2017-01-27,366250,837969
2017-01-28,326420,673684
2017-01-29,343603,688666
2017-01-30,401459,909233
2017-01-31,403338,933421
2017-02-01,693127,1495711
2017-02-02,573143,1106158
2017-02-03,391718,839347
2017-02-04,331403,680009
2017-02-05,341172,700544
2017-02-06,409390,957983
2017-02-07,442325,1033959
2017-02-08,485346,1253773
2017-02-09,434031,1128766
2017-02-10,418335,1054977
2017-02-11,356083,831289
2017-02-12,340426,781210
2017-02-13,412270,1041352
2017-02-14,465055,1435321
2017-02-15,439228,1184004
2017-02-16,402603,1040553
2017-02-17,364421,898747
2017-02-18,342952,884485
2017-02-19,308438,684210
2017-02-20,374512,946439
2017-02-21,364589,914724
2017-02-22,361373,879561
2017-02-23,361269,871879
2017-02-24,366690,839840
2017-02-25,310155,666059
2017-02-26,314463,647177
2017-02-27,380020,890179
2017-02-28,364393,872476
2017-03-01,345961,847001
2017-03-02,341881,821538
2017-03-03,329504,787202
2017-03-04,302909,640681
2017-03-05,321019,645879
2017-03-06,373091,843482
2017-03-07,376962,846651
2017-03-08,382137,845710
2017-03-09,380753,859781
2017-03-10,367104,845435
2017-03-11,462828,1047685
2017-03-12,322989,708264
2017-03-13,351071,803342
2017-03-14,386528,904064
2017-03-15,375843,864573
2017-03-16,359506,824110
2017-03-17,347240,776743
2017-03-18,339314,721348
2017-03-19,350916,700932
2017-03-20,396721,886903
2017-03-21,374314,875543
2017-03-22,373771,871313
2017-03-23,373980,847061
2017-03-24,360097,800694
2017-03-25,312908,639622
2017-03-26,280230,565537
2017-03-27,329332,765743
2017-03-28,337722,795643
2017-03-29,329915,735584
2017-03-30,366634,801011
2017-03-31,364706,768956
2017-04-01,312008,638146
2017-04-02,306815,626969
2017-04-03,373268,845528
2017-04-04,367316,812258
2017-04-05,358112,783484
2017-04-06,352354,776911
2017-04-07,364112,806424
2017-04-08,300882,608719
2017-04-09,292064,586767
2017-04-10,353355,812533
2017-04-11,377152,811051
2017-04-12,325868,744776
2017-04-13,334971,746706
2017-04-14,316867,650430
2017-04-15,302618,597817
2017-04-16,298118,582638
2017-04-17,390897,812213
2017-04-18,365021,831175
2017-04-19,354695,828881
2017-04-20,340476,777632
2017-04-21,338553,751024
2017-04-22,295772,598134
2017-04-23,292277,571441
2017-04-24,378237,798063
2017-04-25,348021,768049
2017-04-26,337535,796905
2017-04-27,313924,743395
2017-04-28,325555,702494
2017-04-29,278619,552514
2017-04-30,273415,531867
2017-05-01,309412,638236
2017-05-02,332179,749224
2017-05-03,316210,720827
2017-05-04,338930,760262
2017-05-05,327614,715615
2017-05-06,279144,574995
2017-05-07,271883,541707
2017-05-08,329255,752556
2017-05-09,371100,806591
2017-05-10,351052,763756
2017-05-11,368404,779490
2017-05-12,363815,778575
2017-05-13,312048,606838
2017-05-14,312677,596381
2017-05-15,383924,819121
2017-05-16,354920,769028
2017-05-17,335153,724023
2017-05-18,356048,788216
2017-05-19,356859,755916
2017-05-20,342332,666825
2017-05-21,294428,574584
2017-05-22,364803,782604
2017-05-23,350076,772658
2017-05-24,354137,759860
2017-05-25,335423,736224
2017-05-26,338059,719288
2017-05-27,309092,609512
2017-05-28,308323,580544
2017-05-29,369609,789425
2017-05-30,383744,798049
2017-05-31,417835,833094
2017-06-01,424884,908852
2017-06-02,375623,786515
2017-06-03,333340,649806
2017-06-04,294496,561393
2017-06-05,376022,825909
2017-06-06,370139,802518
2017-06-07,347785,781166
2017-06-08,345346,742414
2017-06-09,361733,767101
2017-06-10,306905,601331
2017-06-11,329903,622845
2017-06-12,403530,839021
2017-06-13,350735,754728
2017-06-14,343319,734221
2017-06-15,406453,840967
2017-06-16,346527,730004
2017-06-17,322267,620280
2017-06-18,306432,569942
2017-06-19,411028,870898
2017-06-20,373612,800629
2017-06-21,358316,777102
2017-06-22,349642,770564
2017-06-23,383223,796279
2017-06-24,339790,643466
2017-06-25,326766,600645
2017-06-26,353762,708753
2017-06-27,398656,879669
2017-06-28,400770,1052088
2017-06-29,405391,999698
2017-06-30,412357,863990
2017-07-01,403908,763890
2017-07-02,363682,675933
2017-07-03,420983,875496
2017-07-04,394373,837228
2017-07-05,389115,848912
2017-07-06,401033,858328
2017-07-07,417346,841644
2017-07-08,349482,680796
2017-07-09,317909,602777
2017-07-10,426863,893072
2017-07-11,395647,921248
2017-07-12,382708,930381
2017-07-13,389268,1001896
2017-07-14,386521,919885
2017-07-15,371120,685640
2017-07-16,347599,643135
2017-07-17,424605,882710
2017-07-18,394093,865085
2017-07-19,400999,860067
2017-07-20,427522,892694
2017-07-21,408843,839971
2017-07-22,381732,708404
2017-07-23,347025,643191
2017-07-24,415900,863724
2017-07-25,418568,863441
2017-07-26,413647,846837
2017-07-27,439618,919488
2017-07-28,396966,830148
2017-07-29,333238,648721
2017-07-30,340191,632682
2017-07-31,394251,832574
2017-08-01,366034,802337
2017-08-02,359360,781146
2017-08-03,356158,767336
2017-08-04,368242,764678
2017-08-05,324615,623249
2017-08-06,293724,558910
2017-08-07,371437,761889
2017-08-08,373127,813935
2017-08-09,372174,802421
2017-08-10,358086,768541
2017-08-11,362929,755930
2017-08-12,346878,649591
2017-08-13,336119,619483
2017-08-14,377454,782084
2017-08-15,344958,667974
2017-08-16,394555,841431
2017-08-17,380351,804737
2017-08-18,370084,803512
2017-08-19,341632,673758
2017-08-20,329279,634277
2017-08-21,402359,854268
2017-08-22,392773,873176
2017-08-23,415522,866636
